timestamp,close
2018-04-03 16:40:00+00:00,168.48
2018-04-03 16:45:00+00:00,164.56
2018-04-03 16:50:00+00:00,160.96
2018-04-03 16:55:00+00:00,160.5838
2018-04-03 17:00:00+00:00,161.44
2018-04-03 17:05:00+00:00,162.7
2018-04-03 17:10:00+00:00,160.24
2018-04-03 17:15:00+00:00,160.75
2018-04-03 17:20:00+00:00,160.42
2018-04-03 17:25:00+00:00,160.73
2018-04-03 17:30:00+00:00,160.67
2018-04-03 17:35:00+00:00,160.245
2018-04-03 17:40:00+00:00,160.31
2018-04-03 17:45:00+00:00,159.25
2018-04-03 17:50:00+00:00,158.03
2018-04-03 17:55:00+00:00,157.33
2018-04-03 18:00:00+00:00,156.45
2018-04-03 18:05:00+00:00,156.1848
2018-04-03 18:10:00+00:00,155.32
2018-04-03 18:15:00+00:00,155.3
2018-04-03 18:20:00+00:00,155.12
2018-04-03 18:25:00+00:00,155.49
2018-04-03 18:30:00+00:00,153.3
2018-04-03 18:35:00+00:00,152.17
2018-04-03 18:40:00+00:00,151.05
2018-04-03 18:45:00+00:00,150.7
2018-04-03 18:50:00+00:00,150.15
2018-04-03 18:55:00+00:00,150.55
2018-04-03 19:00:00+00:00,151.21
2018-04-03 19:05:00+00:00,150.08
2018-04-03 19:10:00+00:00,150.802
2018-04-03 19:15:00+00:00,150.41
2018-04-03 19:20:00+00:00,150.51
2018-04-03 19:25:00+00:00,149.65
2018-04-03 19:30:00+00:00,150.0
2018-04-03 19:35:00+00:00,149.14
2018-04-03 19:40:00+00:00,149.41
2018-04-03 19:45:00+00:00,149.72
2018-04-03 19:50:00+00:00,149.87
2018-04-03 19:55:00+00:00,149.94
2018-04-03 20:00:00+00:00,149.39
2018-04-03 20:05:00+00:00,149.1
2018-04-03 20:10:00+00:00,148.62
2018-04-03 20:15:00+00:00,149.0
2018-04-03 20:20:00+00:00,148.75
2018-04-03 20:25:00+00:00,148.35
2018-04-03 20:30:00+00:00,148.25
2018-04-03 20:35:00+00:00,148.26
2018-04-03 20:40:00+00:00,148.62
2018-04-03 20:55:00+00:00,148.75
